날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃),
,2022-10-25,239,9.5,3.2,16.3
,2022-10-26,239,11,4.6,18.2
,2022-10-27,239,12.6,6.2,20.3
,2022-10-28,239,13.5,8.9,19.9
,2022-10-29,239,13.6,8.3,20.7
,2022-10-30,239,13.8,8.3,20.7
,2022-10-31,239,13.9,9.6,20
,2022-11-01,239,12.8,8.4,19.2
,2022-11-02,239,10,4.6,19
,2022-11-03,239,9.3,3.7,16.4
,2022-11-04,239,5.7,1.3,10.5
,2022-11-05,239,5.9,-1.8,14.5
,2022-11-06,239,8.1,1.2,16.6
,2022-11-07,239,9.3,2.4,16.9
,2022-11-08,239,11.9,6.3,18.9
,2022-11-09,239,9.6,5.4,16.3
,2022-11-10,239,11.3,5.1,18.7
,2022-11-11,239,13.9,7.7,22
,2022-11-12,239,17.6,9.8,24.3
,2022-11-13,239,11,9.3,18.9
,2022-11-14,239,9.2,5.1,15.1
,2022-11-15,239,7.8,1.7,14.2
,2022-11-16,239,8.5,4.4,15.3
,2022-11-17,239,9.1,4,15.9
,2022-11-18,239,9.1,2.5,17.7
,2022-11-19,239,11.3,4.3,19
,2022-11-20,239,12.6,9.2,18.9
,2022-11-21,239,11.7,5.7,19.7
,2022-11-22,239,10.5,8.1,13.5
